UnixTimestamp_ms;Event;Details
1777451376505;GameStart;startstory
1777451376515;TestStart;Unity connected
1777451389809;KeyPress;Space
1777451393041;KeyPress;Space
1777451396491;KeyPress;Space
1777451408846;KeyPress;Space
1777451417546;KeyPress;Space
1777451420613;KeyPress;Space
1777451438917;KeyPress;Space
1777451446084;KeyPress;Space
1777451449264;KeyPress;Space
1777451452764;KeyPress;Space
1777451474116;KeyPress;Space
1777451479983;KeyPress;Space
1777451484783;KeyPress;Space
1777451487349;KeyPress;Space
1777451488749;KeyPress;Space
1777451490684;KeyPress;Space
1777451497116;KeyPress;Space
1777451498174;KeyPress;Space
1777451499712;KeyPress;Space
1777451501086;KeyPress;Space
1777451503754;KeyPress;Space
1777451507589;KeyPress;Space
1777451510658;KeyPress;Space
1777451516148;KeyPress;Space
1777451543045;KeyPress;Space
1777451544635;KeyPress;Space
1777451545557;KeyPress;Space
1777451546675;KeyPress;Space
1777451547834;KeyPress;Space
1777451548484;KeyPress;Space
1777451549286;KeyPress;Space
1777451553567;KeyPress;Space
