UnixTimestamp_ms;Event;Details
1776152155354;TestStart;Unity connected
1776152155363;GameStart;startstory
1776152157700;KeyPress;Space
1776152157953;KeyPress;Space
1776152158145;KeyPress;Space
1776152158321;KeyPress;Space
1776152158900;KeyPress;Space
1776152159119;KeyPress;Space
1776152159309;KeyPress;Space
1776152159499;KeyPress;Space
1776152159751;KeyPress;Space
1776152160041;KeyPress;Space
1776152160341;KeyPress;Space
1776152160644;KeyPress;Space
1776152160908;KeyPress;Space
1776152161975;KeyPress;Space
1776152162180;KeyPress;Space
1776152162399;KeyPress;Space
1776152162589;KeyPress;Space
