UnixTimestamp_ms;Event;Details
1777449632427;GameStart;startstory
1777449632464;TestStart;Unity connected
1777449634116;KeyPress;Space
1777449634603;KeyPress;Space
1777449635289;KeyPress;Space
1777449635855;KeyPress;Space
1777449636207;KeyPress;Space
1777449636598;KeyPress;Space
1777449636864;KeyPress;Space
1777449637146;KeyPress;Space
1777449638053;KeyPress;Space
1777449638891;KeyPress;Space
1777449644650;KeyPress;Space
1777449654669;KeyPress;Space
1777449676475;ChoiceShown;ch2__ch2_s10_three_reactions_choice
