UnixTimestamp_ms;Event;Details
1776318311068;GameStart;startstory
1776318311078;TestStart;Unity connected
1776318320316;ChoiceShown;ch2__ch2_s5_jennie_approaches_branch
1776318326642;ChoiceSelected;scene=ch2__ch2_s5_jennie_approaches_branch|text=Confront the feeling, stay alert|goto=
1776318328280;ChoiceSelected;scene=ch2__ch2_s5_jennie_approaches_branch|text=Confront the feeling, stay alert|goto=
1776318328463;ChoiceSelected;scene=ch2__ch2_s5_jennie_approaches_branch|text=Confront the feeling, stay alert|goto=
1776318328646;ChoiceSelected;scene=ch2__ch2_s5_jennie_approaches_branch|text=Confront the feeling, stay alert|goto=
1776318328806;ChoiceSelected;scene=ch2__ch2_s5_jennie_approaches_branch|text=Confront the feeling, stay alert|goto=
1776318328977;ChoiceSelected;scene=ch2__ch2_s5_jennie_approaches_branch|text=Confront the feeling, stay alert|goto=
1776318329118;ChoiceSelected;scene=ch2__ch2_s5_jennie_approaches_branch|text=Confront the feeling, stay alert|goto=
1776318329417;ChoiceSelected;scene=ch2__ch2_s5_jennie_approaches_branch|text=Confront the feeling, stay alert|goto=
1776318329613;ChoiceSelected;scene=ch2__ch2_s5_jennie_approaches_branch|text=Confront the feeling, stay alert|goto=
1776318330023;ChoiceSelected;scene=ch2__ch2_s5_jennie_approaches_branch|text=Confront the feeling, stay alert|goto=
