UnixTimestamp_ms;Event;Details
1776152352819;TestStart;Unity connected
1776152352827;GameStart;startstory
1776152353932;KeyPress;Space
1776152355118;KeyPress;Space
1776152355450;KeyPress;Space
1776152355776;KeyPress;Space
1776152356359;KeyPress;Space
1776152356811;KeyPress;Space
1776152357059;KeyPress;Space
1776152357363;KeyPress;Space
1776152357781;KeyPress;Space
1776152358039;KeyPress;Space
1776152358294;KeyPress;Space
1776152358536;KeyPress;Space
1776152358882;KeyPress;Space
1776152359245;KeyPress;Space
1776152359493;KeyPress;Space
1776152361644;KeyPress;Space
1776152362085;KeyPress;Space
1776152362479;KeyPress;Space
1776152362775;KeyPress;Space
1776152363119;KeyPress;Space
1776152363553;KeyPress;Space
1776152363833;KeyPress;Space
1776152364047;KeyPress;Space
1776152364399;KeyPress;Space
1776152364646;KeyPress;Space
1776152364853;KeyPress;Space
1776152365196;KeyPress;Space
1776152365460;KeyPress;Space
1776152365753;KeyPress;Space
1776152365988;KeyPress;Space
1776152368250;KeyPress;Space
1776152369392;KeyPress;Space
1776152370347;KeyPress;Space
1776152371238;KeyPress;Space
