UnixTimestamp_ms;Event;Details
1776842389707;GameStart;startstory
1776842389716;TestStart;Unity connected
1776842427175;KeyPress;Space
1776842430894;KeyPress;Space
1776842433934;KeyPress;Space
1776842437595;KeyPress;Space
1776842439808;KeyPress;Space
1776842443671;KeyPress;Space
1776842447926;KeyPress;Space
1776842452644;KeyPress;Space
1776842455586;KeyPress;Space
1776842464472;KeyPress;Space
1776842466673;KeyPress;Space
1776842469301;KeyPress;Space
1776842475465;KeyPress;Space
1776842478371;KeyPress;Space
1776842481186;KeyPress;Space
1776842486896;KeyPress;Space
1776842488609;KeyPress;Space
1776842491943;KeyPress;Space
1776842494236;KeyPress;Space
1776842495483;KeyPress;Space
1776842510830;KeyPress;Space
1776842525993;KeyPress;Space
1776842531088;KeyPress;Space
1776842550849;KeyPress;Space
1776842561623;ChoiceShown;ch2__ch2_s8_subpattern_branch
1776842567286;ChoiceSelected;scene=ch2__ch2_s8_subpattern_branch|text=Keep watching the pattern|goto=ch3a_rapid__ch3a_s1_july_over_exhausted
1776842580276;KeyPress;Space
1776842588393;KeyPress;Space
1776842602323;KeyPress;Space
1776842616572;KeyPress;Space
1776842622993;KeyPress;Space
1776842625548;KeyPress;Space
1776842632646;KeyPress;Space
1776842641013;KeyPress;Space
1776842653867;KeyPress;Space
1776842658265;KeyPress;Space
1776842663110;KeyPress;Space
1776842666817;KeyPress;Space
1776842670054;KeyPress;Space
1776842672267;KeyPress;Space
1776842700490;KeyPress;Space
1776842702575;KeyPress;Space
1776842708498;KeyPress;Space
1776842714237;KeyPress;Space
1776842717587;KeyPress;Space
1776842721264;KeyPress;Space
1776842724586;KeyPress;Space
1776842726860;KeyPress;Space
1776842741318;KeyPress;Space
1776842743881;KeyPress;Space
1776842748876;KeyPress;Space
1776842752044;KeyPress;Space
1776842755013;KeyPress;Space
1776842760769;KeyPress;Space
1776842774931;KeyPress;Space
1776842779738;KeyPress;Space
1776842783347;KeyPress;Space
1776842794249;KeyPress;Space
1776842800665;KeyPress;Space
1776842802603;KeyPress;Space
1776842805912;KeyPress;Space
1776842808690;KeyPress;Space
1776842814618;KeyPress;Space
